Id,Source,DateBegin,DateEnd,Latitude,Longitude,Shortname,Title,City,Zip
251F2907CC444A34A2473F56C35EA526_REDUCED,lts,2023-06-14T00:00:00,2023-06-14T00:00:00,46.7245,12.2243,25. Alta Pusteria Int. Choir Festival - Eröffnungskonzert,25. Alta Pusteria Int. Choir Festival - Concerto di Apertura,Dobbiaco,39034
1A380856098A400D997DA34698B82529_REDUCED,lts,2022-12-18T00:00:00,2022-12-18T00:00:00,46.6704,11.1629,25. Grand Prix von Meran im Tanzsport,25° Grand Prix di Merano - Danza sportiva,Merano,39012
CAF3DF13C7E14D15B7521FB8B93668AA_REDUCED,lts,2023-06-02T00:00:00,2023-06-02T00:00:00,46.6898,11.1878,25-Jahr-Feier der Schenner Böhmischen auf dem Raiffeisenplatz,Festa del 25° anniversario del gruppo “Schenner Böhmische” a Scena,Scena,39017
8A27C802855B11D7A2A6006008C7C6AD_REDUCED,lts,2023-07-07T00:00:00,2023-07-16T00:00:00,46.6731,11.3762,25. Sarnar Morgreti Essn,25° Settimana gastronomica S. Marghereta,Sarentino,39058
CB9A0CA02E08447BAA83E2FDCFB2A7D6_REDUCED,lts,2023-04-01T00:00:00,2023-04-01T00:00:00,46.5745,11.7417,25. Südtirol Gardenissima: der längste Riesentorlauf der Welt,25° Südtirol Gardenissima: lo slalom gigante più lungo del Mondo,Selva,
2DB1C8AD12AF48DC9927A63E7713AFF7_REDUCED,lts,2022-05-13T00:00:00,2022-05-15T00:00:00,46.7837,11.2308,26. Alpenregionstreffen im Passeiertal,26° Alpenregionstreffen nella Val Passiria,S.Martino in Passiria,39010
6474D12DEAB54E7BAF227F703181438F_REDUCED,lts,2023-06-14T00:00:00,2023-06-18T00:00:00,46.757198,12.104666,26. Alta Pusteria International Choir Festival,26° Alta Pusteria International Choir Festival,Monguelfo-Tesido,39035
3A8DA1FABDE840A2B049FD7DA9CA2A20_REDUCED,lts,2023-03-31T00:00:00,2023-03-31T00:00:00,46.5557,11.7566,26. Sellaronda Skimarathon,26° Sellaronda Skimarathon,Selva,39048
059D62BB7F474DAD8A58F0D88A522AF6_REDUCED,lts,2021-07-10T00:00:00,2021-07-10T00:00:00,46.7382,12.1689,26. Südtirol Dolomiti Superbike,XXVIa edizione Südtirol Dolomiti Superbike,Villabassa,39039
F23CE06A89554CCEB430658217AE35BC_REDUCED,lts,2023-09-09T00:00:00,2023-09-09T00:00:00,46.6971,12.3564,26. Südtirol Drei Zinnen Alpine Run,26° Südtirol Drei Zinnen Alpine Run,Sesto,39030
28CCE74E2C604BD0804603ADC79B61BA_REDUCED,lts,2023-05-07T00:00:00,2023-05-07T00:00:00,46.6702,11.162,"29. Half Marathon Meran-Algund und Meraner ""Run4Fun""-Volkslauf","29a Half Marathon Merano-Lagundo e corsa popolare ""Run4Fun""",Merano,39012
BCFB0CE115AA4FE19FA841D9E6FBF0B8_REDUCED,lts,2022-02-27T00:00:00,2022-02-27T00:00:00,46.641398,11.490362,29.Totenabfahrt 2022,29.Totenabfahrt 2022,Villandro,39040
AC83F44F670047E4989C18A02E5DC239_REDUCED,lts,2022-05-01T00:00:00,2022-05-01T00:00:00,46.949726,11.887271,2. Heli-Day und Tag der offenen Tür,2° Heli-Day e giorno di porte aperte,Valle Aurina,39030
60C98E78C5D246279F1D93035413F058_REDUCED,lts,2023-01-21T00:00:00,2023-01-21T00:00:00,46.6084,10.6827,2. Jugendrennen - Naturbahnrodeln,2° Gara giovanile - Pista di slittino naturale,Lasa,39023
56A8C0E6DDB248C981F0552DE9922A2E_REDUCED,lts,2023-08-19T00:00:00,2023-08-19T00:00:00,46.6302,10.7591,2. Kortscher Dorfdinner,,Silandro,
C347E317992F4BA990500266745BF6D0_REDUCED,lts,2022-06-04T00:00:00,2022-06-04T00:00:00,46.534815,11.326497,2. Widumacker Kirchtag,Festa Widumacker,S.Genesio Atesino,39050
6BA3A0F6EC594BA2804E8B8835985202_REDUCED,lts,2016-07-03T00:00:00,2016-07-03T00:00:00,46.5784,11.8972,30° MARATONA DLES DOLOMITES 2016,30. MARATONA DLES DOLOMITES 2016,Badia,
CD0943024B3D4FFAB0B7A79F655D7611_REDUCED,lts,2023-01-16T00:00:00,2023-01-18T00:00:00,46.7329,12.2816,32. Dolomites Snow Festival,32° Dolomites Snow Festival,S.Candido,39038
094C150078AA4C39827AE964F4E1A1F8_REDUCED,lts,2023-11-03T00:00:00,2023-11-07T00:00:00,46.6704,11.1629,32. Meran WineFestival,32° Merano WineFestival,Merano,39012
