id,zip,city,latitude,longitude,street,country_code
3312,39020.0,Parcines,46.6832,11.0729,Via Peter Mitterhofer 7,IT
3313,39021.0,Tarres,46.608206,10.879362,Via Fontana 20,IT
3314,39052.0,Caldaro,46.416935,11.249253,Via Stazione 28,IT
3315,39010.0,Sorgente/S. Martino i. P.,46.744742,11.204168,Via Passiria 81,IT
3316,39022.0,Lagundo,46.6867,11.124,Via Leiten 10,IT
3317,39058.0,Val Sarentino,46.634578,11.362911,Stetto 13,IT
3318,39030.0,Sorafurcia / Valdaora,46.7464,12.0022,Via St.-Wolfgang 2,IT
3319,39022.0,Lagundo,46.685,11.1069,Plars di Mezzo 42,IT
3320,39057.0,S. Michele | Appiano,46.457491,11.257011,Via Monte 8,IT
3321,39020.0,Parcines,46.6814,11.0741,Via Von Vintler 8,IT
3322,39037.0,Maranza,46.8178,11.6514,Panoramaweg 3,IT
3323,39020.0,Rablà,46.6726,11.0618,Via Texel 5,IT
3324,39040.0,Aldino,46.3819,11.3722,"Kronberg, Tieler 17",IT
3325,39022.0,Lagundo,46.685569,11.130292,Via Mair-Im-Korn 4,IT
3326,39019.0,Tirolo,46.6889,11.1467,"via Gnaid, 25",IT
3327,39050.0,Tires al Catinaccio,46.4692,11.5425,Oberstraße 14,IT
3328,39022.0,Lagundo,46.683073,11.124816,Via San Ippolito 3,IT
3329,39024.0,Malles - Laudes,46.679274,10.537047,"Laudes, 112",IT
3330,39055.0,La Costa/Laives,46.4603,11.351336,La Costa 34,IT
3331,39011.0,Foiana/Lana,46.5924,11.1481,Via Mayenburg 17,IT
3332,39022.0,Lagundo,46.6784,11.1097,St.-Hippolyt-Str. 15,IT
3333,39030.0,Valdaora di Mezzo,46.7686,12.0328,"Via Hauser, 1",IT
3334,39017.0,Scena,46.692533,11.19921,Via Berg 5,IT
3335,39030.0,Valdaora di Mezzo,46.76,12.0336,"Via S. Egidio,12",IT
3336,39010.0,Caines,46.700426,11.166914,Via Caines 56,IT
